date,total_sales
2018-03-14,63720000
2018-03-15,195080000
2018-03-16,204720000
2018-03-17,59980000
2018-03-18,74720000
2018-03-19,79140000
2018-03-21,261750000
2018-03-22,342900000
2018-03-23,412950000
2018-03-24,548900000
2018-03-25,463005000
2018-03-26,447570000
2018-03-27,591030000
2018-03-28,551625000
2018-03-29,563340000
2018-03-30,656550000
2018-03-31,697005000
2018-04-01,753525000
2018-04-03,351910000
2018-04-04,263720000
2018-04-05,534450000
2018-04-06,510900000
2018-04-07,83700000
2018-04-08,91650000
2018-04-09,99450000
2018-04-10,348480000
2018-04-11,133200000
2018-04-12,408570000
2018-04-13,589950000
2018-04-14,466200000
2018-04-15,63900000
2018-04-16,67650000
2018-04-17,304960000
2018-04-18,155120000
2018-04-19,500250000
2018-04-20,541200000
2018-04-21,73350000
2018-04-22,87150000
2018-04-23,85180000
2018-04-24,364800000
2018-04-25,153300000
2018-04-26,478430000
2018-04-27,530200000
2018-04-28,114400000
2018-04-29,68265000
2018-04-30,42150000
2018-05-01,257360000
2018-05-02,615150000
2018-05-03,527400000
2018-05-04,511650000
2018-05-05,208400000
2018-05-06,118480000
2018-05-07,88500000
2018-05-08,325040000
2018-05-09,137870000
2018-05-10,407850000
2018-05-11,433200000
2018-05-12,124320000
2018-05-13,98950000
2018-05-14,71520000
2018-05-15,279760000
2018-05-16,138300000
2018-05-17,326460000
2018-05-18,301570000
2018-05-19,92430000
2018-05-20,99290000
2018-05-21,100750000
2018-05-22,267200000
2018-05-23,174230000
2018-05-24,360550000
2018-05-25,283610000
2018-05-26,75920000
2018-05-27,87100000
2018-05-28,95340000
2018-05-29,207120000
2018-05-30,111880000
2018-05-31,268810000
2018-06-01,250360000
2018-06-02,116560000
2018-06-03,55120000
2018-06-07,110590000
2018-06-08,184620000
2018-06-09,70800000
2018-06-10,69910000
2018-06-11,59190000
2018-06-12,144960000
2018-06-13,124240000
2018-06-14,192810000
2018-06-15,101850000
2018-06-16,266700000
2018-06-17,60900000
2018-06-18,63300000
2018-06-19,167520000
2018-06-20,26700000
2018-06-21,238500000
2018-06-22,269250000
2018-06-23,61600000
2018-06-24,59850000
2018-06-25,16500000
2018-06-26,143680000
2018-06-27,96450000
2018-06-28,294750000
2018-06-29,365850000
2018-06-30,89680000
2018-07-01,88970000
2018-07-02,86260000
2018-07-03,227920000
2018-07-04,278840000
2018-07-05,503330000
2018-07-06,496350000
2018-07-07,196480000
2018-07-08,141470000
2018-07-10,365709997
2018-07-11,308020000
2018-07-12,612160000
2018-07-13,661350000
2018-07-14,204109997
2018-07-15,176390000
2018-07-16,267950000
2018-07-17,406039998
2018-07-18,376790000
2018-07-19,599410000
2018-07-20,655650000
2018-07-21,230720000
2018-07-22,227730000
2018-07-23,231830000
2018-07-24,409600000
2018-07-25,330120000
2018-07-26,549660000
2018-07-27,628660000
2018-07-28,218080000
2018-07-29,186330000
2018-07-30,173400000
2018-07-31,410960000
2018-08-01,306610000
2018-08-02,553710000
2018-08-03,611100000
2018-08-04,196800000
2018-08-05,157610000
2018-08-06,146380000
2018-08-07,405040000
2018-08-08,276750000
2018-08-09,518060000
2018-08-10,563840000
2018-08-11,155120000
2018-08-12,129320000
2018-08-13,160230000
2018-08-14,377120000
2018-08-15,229820000
2018-08-16,464090000
2018-08-17,555620000
2018-08-18,196160000
2018-08-19,114420000
2018-08-20,127260000
2018-08-21,341680000
2018-08-22,463650000
2018-08-23,387240000
2018-08-24,433460000
2018-08-25,145520000
2018-08-26,103640000
2018-08-27,97280000
2018-08-28,297040000
2018-08-29,156340000
2018-08-30,383860000
2018-08-31,430040000
2018-09-01,146640000
2018-09-02,128340000
2018-09-03,96160000
2018-09-04,320640000
2018-09-05,93370000
2018-09-06,222390000
2018-09-07,311270000
2018-09-08,113760000
2018-09-09,99700000
2018-09-10,84870000
2018-09-11,131120000
2018-09-12,94400000
2018-09-13,132240000
2018-09-14,136540000
2018-09-15,50480000
2018-09-16,50320000
2018-09-17,39110000
2018-09-24,35370000
2018-09-25,98480000
2018-09-26,209380000
2018-09-27,315350000
2018-09-28,564220000
2018-09-29,190480000
2018-09-30,191340000
2018-10-01,232470000
2018-10-02,353360000
2018-10-03,226530000
2018-10-04,599410000
2018-10-05,610590000
2018-10-06,332880000
2018-10-07,133110000
2018-10-08,130550000
2018-10-09,383520000
2018-10-10,284220000
2018-10-11,689700000
2018-10-12,737360000
2018-10-13,284640000
2018-10-14,168490000
2018-10-15,150160000
2018-10-16,377760000
2018-10-17,198980000
2018-10-18,584050000
2018-10-19,572630000
2018-10-20,218240000
2018-10-21,98550000
2018-10-22,106250000
2018-10-23,282960000
2018-10-24,177890000
2018-10-25,462560000
2018-10-26,462800000
2018-10-27,162400000
2018-10-28,111490000
2018-10-31,165380000
2018-11-01,406790000
2018-11-02,413290000
2018-11-03,139040000
2018-11-04,78940000
